uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done
unit.000053, stage_2, 1503323558.65, 1503323559.92, 1503323559.92, 1503323560.36, 1503323560.4, 1503323560.43, 1503323560.46,1503323560.49, 1503323722.25, 1503323722.35, 1503323722.38, 1503323724.19, 1503323724.39
unit.000054, stage_2, 1503323559.27, 1503323560.06, 1503323560.06, 1503323560.53, 1503323560.57, 1503323560.59, 1503323560.62,1503323560.68, 1503323708.91, 1503323708.95, 1503323708.97, 1503323710.44, 1503323710.64
unit.000055, stage_2, 1503323559.98, 1503323561.32, 1503323561.32, 1503323561.67, 1503323561.73, 1503323561.77, 1503323561.81,1503323561.84, 1503323816.41, 1503323816.51, 1503323816.54, 1503323817.47, 1503323817.68
unit.000056, stage_2, 1503323560.72, 1503323561.47, 1503323561.47, 1503323561.87, 1503323561.9, 1503323561.94, 1503323561.97,1503323562.0, 1503323722.42, 1503323722.53, 1503323722.56, 1503323724.47, 1503323724.67
unit.000057, stage_2, 1503323561.34, 1503323562.73, 1503323562.73, 1503323563.11, 1503323563.19, 1503323563.22, 1503323563.25,1503323563.28, 1503323707.6, 1503323707.66, 1503323707.69, 1503323708.83, 1503323708.93
unit.000058, stage_2, 1503323562.05, 1503323562.88, 1503323562.88, 1503323563.31, 1503323563.34, 1503323563.37, 1503323563.39,1503323563.42, 1503323722.49, 1503323722.65, 1503323722.68, 1503323724.49, 1503323724.59
unit.000059, stage_2, 1503323562.77, 1503323564.14, 1503323564.14, 1503323564.53, 1503323564.58, 1503323564.6, 1503323564.63,1503323564.66, 1503323710.43, 1503323710.46, 1503323710.49, 1503323710.76, 1503323710.86
unit.000060, stage_2, 1503323563.5, 1503323564.28, 1503323564.28, 1503323564.7, 1503323564.75, 1503323564.78, 1503323564.81,1503323564.83, 1503323707.81, 1503323707.84, 1503323707.87, 1503323709.04, 1503323709.24
unit.000061, stage_2, 1503323564.21, 1503323565.55, 1503323565.55, 1503323565.97, 1503323566.02, 1503323566.05, 1503323566.08,1503323566.11, 1503323816.47, 1503323816.57, 1503323816.6, 1503323817.78, 1503323817.98
unit.000062, stage_2, 1503323564.92, 1503323565.68, 1503323565.68, 1503323566.14, 1503323566.28, 1503323566.31, 1503323566.34,1503323566.37, 1503323709.12, 1503323709.15, 1503323709.18, 1503323710.46, 1503323710.66
unit.000063, stage_2, 1503323565.63, 1503323566.96, 1503323566.96, 1503323567.41, 1503323567.45, 1503323567.49, 1503323567.53,1503323567.57, 1503323722.45, 1503323722.59, 1503323722.62, 1503323724.69, 1503323724.8
unit.000064, stage_3, 1503323584.39, 1503323584.9, 1503323584.9, 1503323585.16, 1503323585.21, 1503323585.24, 1503323585.27,1503323585.3, 1503324387.42, 1503324387.47, 1503324387.5, 1503324389.11, 1503324389.21
unit.000065, stage_3, 1503323585.1, 1503323585.83, 1503323585.83, 1503323586.19, 1503323586.36, 1503323586.39, 1503323586.43,1503323586.46, 1503324395.36, 1503324395.41, 1503324395.44, 1503324397.04, 1503324397.24
unit.000066, stage_3, 1503323593.04, 1503323593.85, 1503323593.85, 1503323594.3, 1503323594.36, 1503323594.4, 1503323594.43,1503323594.46, 1503324400.78, 1503324400.84, 1503324400.87, 1503324402.71, 1503324402.91
unit.000067, stage_3, 1503323593.77, 1503323595.01, 1503323595.01, 1503323595.45, 1503323595.49, 1503323595.52, 1503323595.55,1503323595.58, 1503324414.24, 1503324414.33, 1503324414.36, 1503324415.33, 1503324415.53
unit.000068, stage_3, 1503323594.49, 1503323595.26, 1503323595.26, 1503323595.62, 1503323595.65, 1503323595.68, 1503323595.71,1503323595.74, 1503324407.93, 1503324407.99, 1503324408.03, 1503324409.61, 1503324409.82
unit.000069, stage_3, 1503323598.81, 1503323599.73, 1503323599.73, 1503323600.17, 1503323600.23, 1503323600.26, 1503323600.29,1503323600.32, 1503324405.3, 1503324405.36, 1503324405.39, 1503324407.27, 1503324407.47
unit.000070, stage_3, 1503323632.09, 1503323633.05, 1503323633.05, 1503323633.37, 1503323633.41, 1503323633.44, 1503323633.47,1503323633.5, 1503324414.3, 1503324414.39, 1503324414.42, 1503324415.43, 1503324415.63
unit.000071, stage_3, 1503323632.81, 1503323634.19, 1503323634.19, 1503323634.64, 1503323634.68, 1503323634.71, 1503323634.76,1503323634.79, 1503324418.27, 1503324418.33, 1503324418.37, 1503324420.04, 1503324420.24
unit.000072, stage_3, 1503323637.18, 1503323637.8, 1503323637.8, 1503323638.23, 1503323638.29, 1503323638.32, 1503323638.35,1503323638.38, 1503353823.31, 1503353823.4, 1503353823.43, 1503353824.56, 1503353824.75
unit.000073, stage_3, 1503323637.89, 1503323638.76, 1503323638.76, 1503323639.16, 1503323639.2, 1503323639.23, 1503323639.29,1503323639.33, 1503336900.93, 1503336900.98, 1503336901.01, 1503336902.21, 1503336902.41
unit.000074, stage_3, 1503323638.5, 1503323638.97, 1503323638.97, 1503323639.41, 1503323639.45, 1503323639.48, 1503323639.51,1503323639.54, 1503329277.21, 1503329277.27, 1503329277.31, 1503329278.31, 1503329278.51
unit.000075, stage_3, 1503323642.83, 1503323643.62, 1503323643.62, 1503323643.89, 1503323643.95, 1503323643.98, 1503323644.01,1503323644.04, 1503325915.87, 1503325915.93, 1503325915.96, 1503325917.01, 1503325917.22
unit.000076, stage_3, 1503323643.54, 1503323644.78, 1503323644.78, 1503323645.16, 1503323645.2, 1503323645.24, 1503323645.27,1503323645.32, 1503344079.08, 1503344079.13, 1503344079.16, 1503344080.12, 1503344080.33
unit.000077, stage_3, 1503323647.96, 1503323649.33, 1503323649.33, 1503323649.6, 1503323649.66, 1503323649.69, 1503323649.72,1503323649.75, 1503326301.76, 1503326301.81, 1503326301.86, 1503326303.39, 1503326303.6
unit.000078, stage_3, 1503323648.69, 1503323649.48, 1503323649.48, 1503323649.88, 1503323649.92, 1503323649.96, 1503323650.0,1503323650.03, 1503325161.39, 1503325161.45, 1503325161.48, 1503325162.99, 1503325163.2
unit.000079, stage_3, 1503323649.39, 1503323650.63, 1503323650.63, 1503323651.04, 1503323651.08, 1503323651.11, 1503323651.14,1503323651.17, 1503336370.56, 1503336370.61, 1503336370.64, 1503336372.37, 1503336372.57
unit.000080, stage_3, 1503323650.11, 1503323650.9, 1503323650.9, 1503323651.33, 1503323651.37, 1503323651.4, 1503323651.43,1503323651.46, 1503325895.59, 1503325895.65, 1503325895.68, 1503325897.14, 1503325897.34
unit.000081, stage_3, 1503323665.69, 1503323666.38, 1503323666.38, 1503323666.8, 1503323666.85, 1503323666.88, 1503323666.91,1503323666.94, 1503325906.03, 1503325906.09, 1503325906.12, 1503325907.38, 1503325907.49
unit.000082, stage_3, 1503323711.07, 1503323711.85, 1503323711.85, 1503323712.19, 1503323712.24, 1503323712.27, 1503323712.3,1503323712.33, 1503325136.88, 1503325136.93, 1503325136.96, 1503325138.1, 1503325138.3
unit.000083, stage_3, 1503323711.78, 1503323712.98, 1503323712.98, 1503323713.34, 1503323713.39, 1503323713.42, 1503323713.45,1503323713.48, 1503336515.94, 1503336515.99, 1503336516.02, 1503336517.0, 1503336517.21
unit.000084, stage_3, 1503323716.22, 1503323717.67, 1503323717.67, 1503323717.91, 1503323717.96, 1503323717.99, 1503323718.03,1503323718.06, 1503326875.24, 1503326875.3, 1503326875.33, 1503326877.22, 1503326877.42
unit.000085, stage_3, 1503323716.93, 1503323717.69, 1503323717.69, 1503323718.09, 1503323718.12, 1503323718.15, 1503323718.19,1503323718.22, 1503350432.73, 1503350432.78, 1503350432.81, 1503350433.86, 1503350434.06
unit.000086, stage_3, 1503323717.65, 1503323718.97, 1503323718.97, 1503323719.35, 1503323719.39, 1503323719.42, 1503323719.45,1503323719.48, 1503334453.99, 1503334454.05, 1503334454.08, 1503334455.49, 1503334455.7
unit.000087, stage_3, 1503323718.39, 1503323719.09, 1503323719.09, 1503323719.52, 1503323719.56, 1503323719.59, 1503323719.62,1503323719.65, 1503336677.68, 1503336677.73, 1503336677.76, 1503336679.27, 1503336679.47
unit.000088, stage_3, 1503323719.0, 1503323720.37, 1503323720.37, 1503323720.78, 1503323720.83, 1503323720.86, 1503323720.89,1503323720.92, 1503327232.64, 1503327232.69, 1503327232.72, 1503327233.63, 1503327233.83
unit.000089, stage_3, 1503323727.08, 1503323728.2, 1503323728.2, 1503323728.83, 1503323728.88, 1503323728.92, 1503323728.95,1503323728.98, 1503327966.5, 1503327966.55, 1503327966.6, 1503327967.84, 1503327968.04
unit.000090, stage_3, 1503323727.79, 1503323728.4, 1503323728.4, 1503323729.01, 1503323729.04, 1503323729.07, 1503323729.1,1503323729.13, 1503335023.15, 1503335023.21, 1503335023.24, 1503335024.42, 1503335024.63
unit.000091, stage_3, 1503323728.5, 1503323729.6, 1503323729.6, 1503323730.05, 1503323730.09, 1503323730.12, 1503323730.16,1503323730.19, 1503341729.37, 1503341729.43, 1503341729.46, 1503341730.97, 1503341731.18
unit.000092, stage_3, 1503323729.22, 1503323729.81, 1503323729.81, 1503323730.22, 1503323730.25, 1503323730.28, 1503323730.31,1503323730.34, 1503325163.4, 1503325163.44, 1503325163.49, 1503325165.46, 1503325165.66
